(City: Careyland, Pop: 5086547, Elevation: 1645.0)
(City: WestEnid, Pop: 37412681, Elevation: 3160.0)
(City: NorthValerie, Pop: 17642092, Elevation: 1828.0)
(City: Felixton, Pop: 33004776, Elevation: 2141.0)
(City: PortJadenview, Pop: 42671738, Elevation: 3862.0)
(City: NewJoesphland, Pop: 13604467, Elevation: 71.0)
(City: Bednarberg, Pop: 39673649, Elevation: 1474.0)
(City: SouthTyreekport, Pop: 33825126, Elevation: 395.0)
(City: SouthYvette, Pop: 49037640, Elevation: 2478.0)
(City: Yasmintown, Pop: 49550930, Elevation: 1068.0)
(City: Tomside, Pop: 35706723, Elevation: 3263.0)
(City: Hamillfort, Pop: 9661628, Elevation: 300.0)
(City: WestAnsel, Pop: 36385549, Elevation: 800.0)
(City: LakeSierraville, Pop: 9902563, Elevation: 672.0)
(City: LakeMatteotown, Pop: 24873355, Elevation: 835.0)
(City: Brownchester, Pop: 44537256, Elevation: 2341.0)
(City: Eulamouth, Pop: 24778089, Elevation: 1046.0)
(City: Mozellton, Pop: 11177261, Elevation: 591.0)
(City: Carmenborough, Pop: 43845292, Elevation: 2730.0)
(City: Antoinetteville, Pop: 39593807, Elevation: 1785.0)
(City: LakeErnest, Pop: 39263131, Elevation: 2223.0)
(City: Schuppeshire, Pop: 4026455, Elevation: 2831.0)
(City: Ryanchester, Pop: 22447613, Elevation: 3020.0)
(City: Schuylerland, Pop: 42662474, Elevation: 1754.0)
(City: Braunberg, Pop: 46527996, Elevation: 414.0)
(City: SouthStephanieside, Pop: 2346022, Elevation: 3335.0)
(City: Ninafort, Pop: 43757007, Elevation: 1902.0)
(City: Labadiestad, Pop: 13335500, Elevation: 2202.0)
(City: WestTimmyburgh, Pop: 22778476, Elevation: 3416.0)
(City: Domenicoberg, Pop: 21143564, Elevation: 1504.0)
(City: Dantefort, Pop: 10853010, Elevation: -24.0)
(City: Enastad, Pop: 27191749, Elevation: 3282.0)
(City: NorthEduardo, Pop: 20586186, Elevation: 3668.0)
(City: NewShawnaview, Pop: 32582304, Elevation: 3835.0)
(City: SouthEphraim, Pop: 34145625, Elevation: 3324.0)
(City: Jacobiborough, Pop: 10245615, Elevation: 619.0)
(City: NewKatharinaborough, Pop: 6171303, Elevation: 1253.0)
(City: SouthOleta, Pop: 30927948, Elevation: 1863.0)
(City: Britneyborough, Pop: 19577401, Elevation: 162.0)
(City: Asiaberg, Pop: 16910109, Elevation: 2082.0)
(City: WestDannie, Pop: 49013992, Elevation: 1960.0)
(City: Johnsonfort, Pop: 30390060, Elevation: 231.0)
(City: NewBobbybury, Pop: 29326479, Elevation: 3921.0)
(City: EastSkyeland, Pop: 24149891, Elevation: 3568.0)
(City: Roobmouth, Pop: 36037863, Elevation: 1598.0)
(City: Kianachester, Pop: 24367434, Elevation: 2829.0)
(City: WestAdonismouth, Pop: 34570229, Elevation: 2574.0)
(City: EastBrett, Pop: 39175173, Elevation: 2990.0)
(City: Huldaville, Pop: 3879503, Elevation: 3380.0)
(City: EastKenyaton, Pop: 14846504, Elevation: 2502.0)
(City: PortJarenchester, Pop: 34031529, Elevation: 11.0)
(City: PortVirginia, Pop: 14419929, Elevation: 1484.0)
(City: Turnerfurt, Pop: 22252897, Elevation: -61.0)
(City: Schmittside, Pop: 3676028, Elevation: 2581.0)
(City: Adelineberg, Pop: 40034681, Elevation: 2151.0)
(City: WestBarney, Pop: 9524927, Elevation: 2384.0)
(City: NorthBridie, Pop: 16713804, Elevation: 1116.0)
(City: Kanestad, Pop: 40574777, Elevation: 2024.0)
(City: PortVickie, Pop: 2543436, Elevation: 2113.0)
(City: Dickinsonburgh, Pop: 33244074, Elevation: 3558.0)
(City: EastAnthony, Pop: 18113474, Elevation: 2499.0)
(City: Spencermouth, Pop: 27214167, Elevation: 3554.0)
(City: Alainaville, Pop: 42336489, Elevation: 3668.0)
(City: Bernierberg, Pop: 25105938, Elevation: 3115.0)
(City: LakeAlessandra, Pop: 45520385, Elevation: 2405.0)
(City: PortAdelefurt, Pop: 25130980, Elevation: 3413.0)
(City: Paucekbury, Pop: 44510512, Elevation: 2008.0)
(City: Hilpertview, Pop: 1402660, Elevation: 2589.0)
(City: Welchton, Pop: 18993135, Elevation: 1645.0)
(City: Runolfsdottirburgh, Pop: 27450569, Elevation: 3419.0)
(City: Connside, Pop: 32340905, Elevation: 3255.0)
(City: Leuschkeshire, Pop: 39460952, Elevation: 793.0)
(City: LakeMiles, Pop: 28794193, Elevation: 1789.0)
(City: Marquardtbury, Pop: 989700, Elevation: 2840.0)
(City: PortAniyahside, Pop: 44211533, Elevation: 2977.0)
(City: Taniahaven, Pop: 45294183, Elevation: 2616.0)
(City: Wizaberg, Pop: 18186319, Elevation: 1080.0)
(City: Gulgowskifurt, Pop: 24289748, Elevation: 1427.0)
(City: WestEmanuelfurt, Pop: 15793139, Elevation: 162.0)
(City: SouthTheresafurt, Pop: 40639130, Elevation: 19.0)
(City: Bechtelarborough, Pop: 24711238, Elevation: 1888.0)
(City: Elishafurt, Pop: 24528836, Elevation: 854.0)
(City: Hesselshire, Pop: 11921507, Elevation: -80.0)
(City: Daphneeburgh, Pop: 10533314, Elevation: 466.0)
(City: Ellieshire, Pop: 3497901, Elevation: 1192.0)
(City: LakeJackieshire, Pop: 696107, Elevation: 3100.0)
(City: SouthAdeline, Pop: 40595969, Elevation: 2275.0)
(City: PortArmandmouth, Pop: 36816618, Elevation: 1417.0)
(City: NewKaleyfort, Pop: 5981557, Elevation: 2569.0)
(City: Howellside, Pop: 41552252, Elevation: 1096.0)
(City: Hillardmouth, Pop: 35015292, Elevation: 3465.0)
(City: Chelseachester, Pop: 4303307, Elevation: 2957.0)
(City: Daisyfurt, Pop: 1368289, Elevation: 3905.0)
(City: Braunfort, Pop: 41238031, Elevation: 2551.0)
(City: SouthDannystad, Pop: 24661382, Elevation: 491.0)
(City: Monserratetown, Pop: 14174092, Elevation: 3644.0)
(City: Cesarview, Pop: 8219315, Elevation: 392.0)
(City: Cordellshire, Pop: 39759555, Elevation: 3965.0)
(City: Virginiaside, Pop: 26635519, Elevation: 3428.0)
(City: WestAlessia, Pop: 10953190, Elevation: 2160.0)
(City: Rutherfordmouth, Pop: 1991737, Elevation: -58.0)
(City: SouthTrudie, Pop: 6662605, Elevation: 868.0)
(City: PortEileen, Pop: 31859024, Elevation: 804.0)
(City: SouthBerenice, Pop: 34997035, Elevation: 2169.0)
(City: Schoenside, Pop: 22983673, Elevation: 3323.0)
(City: Eveville, Pop: 15400893, Elevation: 3149.0)
(City: Verlahaven, Pop: 19905285, Elevation: 691.0)
(City: EastAdonis, Pop: 29887244, Elevation: 194.0)
(City: WestFrederique, Pop: 13032871, Elevation: 94.0)
(City: Elveramouth, Pop: 32227807, Elevation: 2039.0)
(City: Gerholdville, Pop: 28276580, Elevation: 2132.0)
(City: Schmittburgh, Pop: 37315100, Elevation: 705.0)
(City: NorthElveraland, Pop: 2782800, Elevation: 2277.0)
(City: PortHarold, Pop: 43872444, Elevation: 950.0)
(City: Macstad, Pop: 26871605, Elevation: 2609.0)
(City: NewDrewville, Pop: 31200129, Elevation: 43.0)
(City: Klingville, Pop: 5546460, Elevation: 3190.0)
(City: Bruenstad, Pop: 32678717, Elevation: 1730.0)
(City: Waltonshire, Pop: 14088153, Elevation: 3813.0)
(City: Geovannifort, Pop: 25864935, Elevation: 3013.0)
(City: EastTyreetown, Pop: 26842824, Elevation: 1683.0)
(City: SouthKaya, Pop: 40067058, Elevation: 2027.0)
(City: Gunnerton, Pop: 15094697, Elevation: 1403.0)
(City: Cyrustown, Pop: 3833077, Elevation: 3818.0)
(City: PortBrisa, Pop: 24195887, Elevation: 1210.0)
(City: NewNoelia, Pop: 36124500, Elevation: 606.0)
(City: WestModesta, Pop: 12635885, Elevation: 2671.0)
(City: NorthJordyborough, Pop: 37908866, Elevation: 3438.0)
(City: Howellberg, Pop: 2118712, Elevation: 2451.0)
(City: EastFermin, Pop: 42448175, Elevation: 1808.0)
(City: Waelchifurt, Pop: 48445962, Elevation: 99.0)
(City: SouthIleneton, Pop: 15803978, Elevation: 3718.0)
(City: Carterport, Pop: 28050966, Elevation: 1897.0)
(City: Lefflerchester, Pop: 8354519, Elevation: 2403.0)
(City: NorthRoderick, Pop: 30801919, Elevation: 2322.0)
(City: Susanborough, Pop: 37040437, Elevation: 3122.0)
(City: Faheyfort, Pop: 553609, Elevation: 2740.0)
(City: PortDulcestad, Pop: 26962872, Elevation: 3413.0)
(City: NorthLavonnebury, Pop: 11605562, Elevation: 1654.0)
(City: EastViolette, Pop: 9309309, Elevation: 1110.0)
(City: EastOle, Pop: 27139582, Elevation: 3168.0)
(City: Antoniettaport, Pop: 7364910, Elevation: 2954.0)
(City: LakeFidelburgh, Pop: 19937152, Elevation: 2576.0)
(City: LakeAbigale, Pop: 48105856, Elevation: 757.0)
(City: EastDahlia, Pop: 40614309, Elevation: 3576.0)
(City: NewAllison, Pop: 22066507, Elevation: 3165.0)
(City: NorthOranchester, Pop: 42789170, Elevation: 3074.0)
(City: Sethport, Pop: 13210977, Elevation: 1761.0)
(City: NorthShaniaville, Pop: 15811874, Elevation: 1184.0)
(City: SouthKasandrastad, Pop: 3580669, Elevation: 200.0)
(City: PortKatelinshire, Pop: 39754870, Elevation: 1596.0)
(City: Alexandrefurt, Pop: 19960428, Elevation: 347.0)
(City: NewWillard, Pop: 14136132, Elevation: 1611.0)
(City: EastDemarcus, Pop: 17885451, Elevation: 2996.0)
(City: NewAaliyahside, Pop: 48620981, Elevation: 2.0)
(City: Kelvinview, Pop: 31215122, Elevation: 3807.0)
(City: EastBrianne, Pop: 34307486, Elevation: 2553.0)
(City: NorthParisland, Pop: 687706, Elevation: 3766.0)
(City: WestAlvina, Pop: 13638481, Elevation: 3269.0)
(City: Hirthehaven, Pop: 19254950, Elevation: 901.0)
(City: PortPeytonborough, Pop: 46917234, Elevation: 3699.0)
(City: Adonischester, Pop: 29130335, Elevation: 3000.0)
(City: Trompstad, Pop: 42689027, Elevation: 2691.0)
(City: Erichchester, Pop: 45242893, Elevation: 50.0)
(City: NewJasmin, Pop: 22789200, Elevation: 2452.0)
(City: Gleasonside, Pop: 2703650, Elevation: 2718.0)
(City: PortMissouriberg, Pop: 40356510, Elevation: 3968.0)
(City: SouthLucy, Pop: 38966329, Elevation: 157.0)
(City: NorthCeceliatown, Pop: 16448836, Elevation: 2817.0)
(City: Zariaburgh, Pop: 984333, Elevation: 2193.0)
(City: Fritschhaven, Pop: 5455892, Elevation: 642.0)
(City: PortRonnyside, Pop: 4403270, Elevation: 2366.0)
(City: WestBlairshire, Pop: 23016909, Elevation: 969.0)
(City: Cruickshankborough, Pop: 20131154, Elevation: 2716.0)
(City: Monicaberg, Pop: 43678165, Elevation: 3060.0)
(City: WestKatelynnport, Pop: 6169007, Elevation: 1854.0)
(City: Lefflerview, Pop: 10647676, Elevation: 3540.0)
(City: SouthLyla, Pop: 5654999, Elevation: 2325.0)
(City: NewJalenview, Pop: 5118097, Elevation: 2148.0)
(City: LakeTimmothy, Pop: 6417895, Elevation: 1376.0)
(City: Zulaufview, Pop: 33100442, Elevation: 1631.0)
(City: Baumbachbury, Pop: 16774942, Elevation: 3330.0)
(City: Inesmouth, Pop: 10181637, Elevation: 2213.0)
(City: LakeDemarioton, Pop: 20259827, Elevation: 303.0)
(City: Browntown, Pop: 39769371, Elevation: 814.0)
(City: PortTyreseport, Pop: 46632434, Elevation: 976.0)
(City: NorthImogeneborough, Pop: 10993522, Elevation: 3168.0)
(City: EastBranson, Pop: 27232979, Elevation: 3418.0)
(City: LakeMyrlbury, Pop: 35146751, Elevation: 3316.0)
(City: NewNayelimouth, Pop: 41018474, Elevation: 757.0)
(City: PortFatima, Pop: 21730491, Elevation: 3738.0)
(City: Olinfort, Pop: 9501888, Elevation: 81.0)
(City: Hansenshire, Pop: 1827182, Elevation: 1871.0)
(City: NewKristinamouth, Pop: 21088872, Elevation: -39.0)
(City: WestRodrick, Pop: 867093, Elevation: 2603.0)
(City: Kirlinborough, Pop: 34231391, Elevation: 2238.0)
(City: Murphymouth, Pop: 21680338, Elevation: 2206.0)
(City: Hayliebury, Pop: 22207516, Elevation: 2993.0)
(City: Macyview, Pop: 43515926, Elevation: 2350.0)
(City: Kutchland, Pop: 37773358, Elevation: 2742.0)
(City: SouthHillaryburgh, Pop: 37960495, Elevation: 2034.0)
(City: LakeSophia, Pop: 980034, Elevation: 3372.0)
(City: Koeppville, Pop: 37628778, Elevation: 1455.0)
(City: SouthLorenzfort, Pop: 38446080, Elevation: 2812.0)
(City: Godfreychester, Pop: 25690061, Elevation: 3905.0)
(City: Hansenhaven, Pop: 3965822, Elevation: 3125.0)
(City: WestGeorgiana, Pop: 49324469, Elevation: 2224.0)
(City: NorthKeon, Pop: 28708973, Elevation: 2156.0)
(City: SouthUrielberg, Pop: 27796613, Elevation: 452.0)
(City: EastJerrellland, Pop: 20842673, Elevation: 3978.0)
(City: NorthLonny, Pop: 43576093, Elevation: 1403.0)
(City: Schuppemouth, Pop: 11404027, Elevation: 2543.0)
(City: Karliebury, Pop: 25380165, Elevation: 1818.0)
(City: SouthOrrinshire, Pop: 7806640, Elevation: 2674.0)
(City: Trentonstad, Pop: 8230635, Elevation: 1976.0)
(City: EastDelta, Pop: 31713003, Elevation: 2279.0)
(City: SouthRobbie, Pop: 45290189, Elevation: 1447.0)
(City: Edgardoshire, Pop: 35192086, Elevation: 1055.0)
(City: LakeOrion, Pop: 38839706, Elevation: 879.0)
(City: Schaefermouth, Pop: 33363843, Elevation: 1013.0)
(City: Franciscochester, Pop: 15799926, Elevation: 3276.0)
(City: Marquardtport, Pop: 46234934, Elevation: 3653.0)
(City: NewJovanfurt, Pop: 24760430, Elevation: 1783.0)
(City: NewMajorfurt, Pop: 27276804, Elevation: 40.0)
(City: WestChasechester, Pop: 22458286, Elevation: 127.0)
(City: SouthTrentton, Pop: 47425731, Elevation: 2162.0)
(City: Enricotown, Pop: 8652717, Elevation: 3249.0)
(City: EastNikko, Pop: 37965379, Elevation: 3059.0)
(City: SouthMarisol, Pop: 48044645, Elevation: 422.0)
(City: NorthMicah, Pop: 39807015, Elevation: 3913.0)
(City: PortDerrick, Pop: 16553604, Elevation: 1313.0)
(City: NewRosemary, Pop: 6216956, Elevation: 2374.0)
(City: NorthAntwan, Pop: 19279630, Elevation: 996.0)
(City: Jerdeland, Pop: 44577698, Elevation: 60.0)
(City: Lakinport, Pop: 14662155, Elevation: 3764.0)
(City: EastShyannehaven, Pop: 678844, Elevation: 78.0)
(City: SouthLeon, Pop: 13074782, Elevation: 3937.0)
(City: PortSilas, Pop: 11116968, Elevation: 2443.0)
(City: Jenaview, Pop: 37506115, Elevation: 2348.0)
(City: Pagacchester, Pop: 48870712, Elevation: 79.0)
(City: WestCleora, Pop: 44753241, Elevation: 2848.0)
(City: PortEunicehaven, Pop: 47368107, Elevation: 3962.0)
(City: SouthOra, Pop: 19349404, Elevation: 3233.0)
(City: Larryton, Pop: 6348706, Elevation: 2913.0)
(City: Kirlinchester, Pop: 42687668, Elevation: 562.0)
(City: NorthBrooklyn, Pop: 18422257, Elevation: 2552.0)
(City: EastEliezertown, Pop: 2515786, Elevation: 852.0)
(City: Funkview, Pop: 40994445, Elevation: 603.0)
(City: Russelside, Pop: 45682227, Elevation: 3569.0)
(City: Luzmouth, Pop: 19914059, Elevation: 3061.0)
(City: Alysonberg, Pop: 41740877, Elevation: 2761.0)
(City: Bayerview, Pop: 49419051, Elevation: 318.0)
(City: PortNikkichester, Pop: 17342381, Elevation: 576.0)
(City: Gleasonmouth, Pop: 30080243, Elevation: 24.0)
(City: Ruthiefurt, Pop: 17564702, Elevation: 1801.0)
(City: Tillmanton, Pop: 18663749, Elevation: 2119.0)
(City: LakeCordelialand, Pop: 44917258, Elevation: -20.0)
(City: Zenaton, Pop: 40433860, Elevation: 3280.0)
(City: Collierfort, Pop: 37082995, Elevation: 2115.0)
(City: Traceyport, Pop: 11261243, Elevation: 3431.0)
(City: NorthDaren, Pop: 10750497, Elevation: 2116.0)
(City: Rathfort, Pop: 35636488, Elevation: 2738.0)
(City: Deckowland, Pop: 5368214, Elevation: 3917.0)
(City: Jaskolskitown, Pop: 34384162, Elevation: 2729.0)
(City: Rosalindaville, Pop: 3589101, Elevation: 888.0)
(City: Marvintown, Pop: 31765223, Elevation: 1245.0)
(City: Boganbury, Pop: 46008905, Elevation: 2951.0)
(City: Thaliachester, Pop: 16977213, Elevation: 620.0)
(City: Stantonhaven, Pop: 32416372, Elevation: 14.0)
(City: PortIgnatiuschester, Pop: 49983922, Elevation: 3682.0)
(City: Lilyanton, Pop: 35454408, Elevation: 212.0)
(City: WestMerlinberg, Pop: 28460312, Elevation: 189.0)
(City: EastDiego, Pop: 38332976, Elevation: 3295.0)
(City: NewStephon, Pop: 4243445, Elevation: 2715.0)
(City: Wilberburgh, Pop: 33858952, Elevation: 976.0)
(City: Harberstad, Pop: 38820789, Elevation: 1918.0)
(City: NorthElisha, Pop: 23982248, Elevation: 3562.0)
(City: O'Connellshire, Pop: 31366557, Elevation: 3391.0)
(City: EastEllaview, Pop: 40387087, Elevation: 422.0)
(City: Georgianachester, Pop: 40405068, Elevation: 445.0)
(City: WestErickton, Pop: 45640931, Elevation: 1443.0)
(City: Immanuelmouth, Pop: 6506493, Elevation: 669.0)
(City: NewJordy, Pop: 32597930, Elevation: 2390.0)
(City: NewOctavialand, Pop: 5943017, Elevation: 166.0)
(City: NorthDonny, Pop: 2577276, Elevation: 3599.0)
(City: Nicolasport, Pop: 14779695, Elevation: 139.0)
(City: SouthMaevetown, Pop: 32352715, Elevation: 1343.0)
(City: NewXavier, Pop: 4521295, Elevation: 846.0)
(City: Armstrongmouth, Pop: 24079799, Elevation: 3357.0)
(City: PortCamilla, Pop: 25255969, Elevation: 255.0)
(City: SouthLindsey, Pop: 27920925, Elevation: 3775.0)
(City: Trevershire, Pop: 48036242, Elevation: 472.0)
(City: NewLeoside, Pop: 36434722, Elevation: 3490.0)
(City: Hicklefurt, Pop: 30361168, Elevation: -17.0)
(City: EastBobbie, Pop: 33913846, Elevation: 3567.0)
(City: Laurahaven, Pop: 11541220, Elevation: 1266.0)
(City: Maybelleville, Pop: 3103005, Elevation: 3031.0)
(City: Doraview, Pop: 48090397, Elevation: 1021.0)
(City: Murazikfurt, Pop: 49046115, Elevation: 3410.0)
(City: PortJuana, Pop: 6385030, Elevation: 1080.0)
(City: Maeport, Pop: 46490610, Elevation: 1065.0)
(City: Annettaside, Pop: 27209877, Elevation: 3474.0)
(City: Cliftonton, Pop: 37197889, Elevation: 2900.0)
(City: EastLucas, Pop: 7115585, Elevation: 1174.0)
(City: Yoshikoland, Pop: 29776874, Elevation: 517.0)
(City: SouthValentin, Pop: 801353, Elevation: 2147.0)
(City: Torpberg, Pop: 19081774, Elevation: 1983.0)
(City: Mosciskimouth, Pop: 46589402, Elevation: 190.0)
(City: Sawaynport, Pop: 32852971, Elevation: 2445.0)
(City: Stoltenbergmouth, Pop: 29315355, Elevation: 3454.0)
(City: Lonieberg, Pop: 40323923, Elevation: 160.0)
(City: LakeMaverickville, Pop: 5265139, Elevation: 307.0)
(City: EastLois, Pop: 9740187, Elevation: 2752.0)
(City: Bergstromside, Pop: 372890, Elevation: 2145.0)
(City: EastDemarcoton, Pop: 15554853, Elevation: 1025.0)
(City: NewQuinnstad, Pop: 3012209, Elevation: 892.0)
(City: EastDestinee, Pop: 40697382, Elevation: 469.0)
(City: Cormierview, Pop: 7812255, Elevation: 2331.0)
(City: PortMarlenton, Pop: 25396745, Elevation: 372.0)
(City: Lockmanfort, Pop: 40114513, Elevation: 3770.0)
(City: LakeAfton, Pop: 15899706, Elevation: 3882.0)
(City: McCulloughhaven, Pop: 4791252, Elevation: 897.0)
(City: NewDillonhaven, Pop: 7255368, Elevation: 1829.0)
(City: NewOtilia, Pop: 20697273, Elevation: 2092.0)
(City: Lurlineburgh, Pop: 40213651, Elevation: 1946.0)
(City: Maidatown, Pop: 45356288, Elevation: 2472.0)
(City: PortAllen, Pop: 31333631, Elevation: 3390.0)
(City: NorthJadynbury, Pop: 12656862, Elevation: 2657.0)
(City: Valentinmouth, Pop: 19902980, Elevation: 136.0)
(City: Veronaside, Pop: 37623602, Elevation: 2452.0)
(City: Flatleyton, Pop: 4213365, Elevation: 1263.0)
(City: NewJacebury, Pop: 6944710, Elevation: 2696.0)
(City: NewRubenborough, Pop: 49170329, Elevation: 1566.0)
(City: Christellestad, Pop: 42625132, Elevation: 2121.0)
(City: NorthOtiliastad, Pop: 13498927, Elevation: 2784.0)
(City: EastTimothyton, Pop: 10548790, Elevation: 908.0)
(City: Giaburgh, Pop: 20835590, Elevation: 412.0)
(City: SouthBellahaven, Pop: 20230182, Elevation: 1220.0)
(City: WestCassandre, Pop: 34381931, Elevation: 3983.0)
(City: WestBriana, Pop: 38465236, Elevation: 628.0)
(City: Mabelshire, Pop: 43059677, Elevation: 1192.0)
(City: Monahanside, Pop: 1186940, Elevation: 1925.0)
(City: LakeJanyton, Pop: 510145, Elevation: 1327.0)
(City: Denesikberg, Pop: 43652354, Elevation: 1721.0)
(City: NorthJeramieburgh, Pop: 22037353, Elevation: 3914.0)
(City: PortTatyana, Pop: 20018906, Elevation: 1110.0)
(City: LakeLiliane, Pop: 47236061, Elevation: 2993.0)
(City: Ladariushaven, Pop: 19905341, Elevation: 1602.0)
(City: Beckerhaven, Pop: 136912, Elevation: 2917.0)
(City: Goyetteville, Pop: 41422422, Elevation: -60.0)
(City: PortConor, Pop: 27931839, Elevation: 1554.0)
(City: EastTellyberg, Pop: 31414186, Elevation: 1612.0)
(City: Russeltown, Pop: 45762, Elevation: 160.0)
(City: Francesshire, Pop: 11366841, Elevation: -20.0)
(City: PortMikaylashire, Pop: 33623471, Elevation: 3121.0)
(City: Wisozkberg, Pop: 13989022, Elevation: 2060.0)
(City: Sadiebury, Pop: 30420744, Elevation: 1830.0)
(City: NorthAmbroseton, Pop: 36129856, Elevation: 3387.0)
(City: Rosamondton, Pop: 42274988, Elevation: 3077.0)
(City: NewNico, Pop: 35994483, Elevation: 956.0)
(City: WestLempi, Pop: 38023349, Elevation: 208.0)
(City: NewJimmy, Pop: 44189913, Elevation: 2670.0)
(City: LakeMargarettview, Pop: 39762470, Elevation: 3878.0)
(City: WestJerrodton, Pop: 25281028, Elevation: 3152.0)
(City: PortMichel, Pop: 25699570, Elevation: 1346.0)
(City: SouthMaximilian, Pop: 33582429, Elevation: 3701.0)
(City: LakeSallyville, Pop: 46692096, Elevation: 1979.0)
(City: EastTorrey, Pop: 42289877, Elevation: 3854.0)
(City: NorthLouisa, Pop: 48739844, Elevation: 3182.0)
(City: Arthurtown, Pop: 37191082, Elevation: 977.0)
(City: PortMaudie, Pop: 33281898, Elevation: 2233.0)
(City: NorthEdythmouth, Pop: 42010551, Elevation: 1212.0)
(City: Sandymouth, Pop: 741235, Elevation: 995.0)
(City: EastWillowhaven, Pop: 18072431, Elevation: 2653.0)
(City: LakeSamir, Pop: 16326643, Elevation: 3561.0)
(City: Elwynton, Pop: 9297366, Elevation: 12.0)
(City: NewMiguel, Pop: 48603678, Elevation: 3592.0)
(City: NewElvie, Pop: 38062358, Elevation: 2122.0)
(City: Blakeville, Pop: 37257823, Elevation: 1993.0)
(City: WestBethanyfurt, Pop: 41687448, Elevation: 3613.0)
(City: Erinview, Pop: 43944789, Elevation: 2386.0)
(City: Elveraview, Pop: 2147088, Elevation: 195.0)
(City: NewBeatrice, Pop: 34789170, Elevation: 2059.0)
(City: LakeEulalia, Pop: 15513825, Elevation: 2678.0)
(City: Connview, Pop: 13989230, Elevation: 2081.0)
(City: PortNicole, Pop: 11907964, Elevation: 2627.0)
(City: EastMadgebury, Pop: 23732762, Elevation: 172.0)
(City: WestWaynehaven, Pop: 43060356, Elevation: 185.0)
(City: EastPatsyshire, Pop: 14232037, Elevation: 196.0)
(City: NewAudreanne, Pop: 41366983, Elevation: 3983.0)
(City: EastEmiliefurt, Pop: 49721319, Elevation: 909.0)
(City: Hilpertmouth, Pop: 22995211, Elevation: 2871.0)
(City: Nellatown, Pop: 7949105, Elevation: 889.0)
(City: EastConnortown, Pop: 24477746, Elevation: 3808.0)
(City: Amaliaport, Pop: 36916265, Elevation: 20.0)
(City: Jerdeview, Pop: 14720329, Elevation: 2194.0)
(City: Wisozkmouth, Pop: 17865345, Elevation: 158.0)
(City: Jenkinsstad, Pop: 30838111, Elevation: 781.0)
(City: EastBraedenshire, Pop: 40571682, Elevation: 2127.0)
(City: Baileeberg, Pop: 18119524, Elevation: 2554.0)
(City: NorthHertamouth, Pop: 5735174, Elevation: 3261.0)
(City: SouthChelseyhaven, Pop: 16265598, Elevation: 1835.0)
(City: LakeReanna, Pop: 11270650, Elevation: 2302.0)
(City: NewWinnifred, Pop: 33910171, Elevation: 796.0)
(City: Gleasonburgh, Pop: 5708661, Elevation: 2576.0)
(City: Christianafort, Pop: 39058065, Elevation: 3503.0)
(City: Hoegerland, Pop: 29998604, Elevation: 1318.0)
(City: WestFanny, Pop: 22891620, Elevation: 1593.0)
(City: LakeFloridafurt, Pop: 10411194, Elevation: 243.0)
(City: Jaskolskiside, Pop: 17831961, Elevation: 2989.0)
(City: Darrontown, Pop: 2037748, Elevation: 2614.0)
(City: NorthJaylon, Pop: 35411085, Elevation: 3952.0)
(City: NorthDemario, Pop: 12690384, Elevation: 3927.0)
(City: PortLeopoldport, Pop: 34737396, Elevation: 2317.0)
(City: NorthJessica, Pop: 44933443, Elevation: 66.0)
(City: Langfort, Pop: 32272044, Elevation: 332.0)
(City: Americoberg, Pop: 32685808, Elevation: 2581.0)
(City: Sengerside, Pop: 2804129, Elevation: 1668.0)
(City: Kimview, Pop: 10680962, Elevation: 459.0)
(City: Kozeyside, Pop: 1853051, Elevation: 3135.0)
(City: WestLupe, Pop: 24899848, Elevation: -29.0)
(City: Damarisview, Pop: 2552144, Elevation: 579.0)
(City: PortRussell, Pop: 28690114, Elevation: 1213.0)
(City: Randyborough, Pop: 24868415, Elevation: 1584.0)
(City: LakeEbba, Pop: 24044407, Elevation: 3353.0)
(City: WestZachary, Pop: 17055377, Elevation: 2945.0)
(City: PortMoses, Pop: 42527852, Elevation: 2543.0)
(City: EastHarold, Pop: 49519826, Elevation: 627.0)
(City: LakeMeggie, Pop: 30877470, Elevation: 1000.0)
(City: Mertzberg, Pop: 26279344, Elevation: 1209.0)
(City: Yostland, Pop: 8534280, Elevation: 3906.0)
(City: Larissaburgh, Pop: 46064824, Elevation: 3413.0)
(City: SouthElbert, Pop: 30090949, Elevation: 3592.0)
(City: SouthTaliaton, Pop: 46214969, Elevation: 2788.0)
(City: Huelfort, Pop: 42819880, Elevation: 464.0)
(City: EastOdell, Pop: 12820190, Elevation: 2556.0)
(City: Rosinafort, Pop: 39046456, Elevation: 1097.0)
(City: Jamisonbury, Pop: 20883802, Elevation: 1055.0)
(City: NorthMya, Pop: 1381257, Elevation: 3785.0)
(City: Cliffordmouth, Pop: 41945569, Elevation: 3147.0)
(City: WestMakennatown, Pop: 24458932, Elevation: 3130.0)
(City: SouthHarrisonchester, Pop: 17591705, Elevation: 3090.0)
(City: NorthFranz, Pop: 49862497, Elevation: 3215.0)
(City: LakeMargarete, Pop: 15938724, Elevation: 2904.0)
(City: PortGerhard, Pop: 42900809, Elevation: 34.0)
(City: NewJairo, Pop: 36572590, Elevation: 1346.0)
(City: SouthAnnabelle, Pop: 43096822, Elevation: 3121.0)
(City: NorthJedidiahberg, Pop: 11017928, Elevation: 1743.0)
(City: LakeLomabury, Pop: 30909790, Elevation: 1958.0)
(City: Zoieburgh, Pop: 18136582, Elevation: 2326.0)
